variable,model,n,mean,median,var,std,iqr
precip,idw,142740,2.5061192512512207,1.0605244636535645,19.131189346313477,4.3739213943481445,2.451039306819439
precip,spherical,142740,2.732390880584717,1.5487244129180908,19.150665283203125,4.376147270202637,3.0453307554125786
precip,exponential,142740,2.7379937171936035,1.3925522565841675,20.759401321411133,4.556248664855957,2.9795675948262215
precip,gaussian,142740,-3.534787178039551,1.6668665409088135,460140.46875,678.3365478515625,3.5487912222743034
rh,idw,142740,63.28977966308594,65.974853515625,217.56314086914062,14.750021934509277,20.809889793395996
rh,spherical,142740,65.48152160644531,69.19174194335938,326.0478515625,18.056795120239258,23.97455596923828
rh,exponential,142740,65.48802185058594,69.52360534667969,327.12725830078125,18.086660385131836,24.029022216796875
rh,gaussian,142740,64.74749755859375,68.17603302001953,373.2593688964844,19.319921493530273,24.47598648071289
t_air,idw,142740,286.3280334472656,286.7835693359375,81.03485870361328,9.001935958862305,14.751480102539062
t_air,spherical,142740,286.79339599609375,288.0510559082031,101.47525787353516,10.073493003845215,15.078338623046875
t_air,exponential,142740,286.6473083496094,287.8069763183594,100.33463287353516,10.016717910766602,15.009613037109375
t_air,gaussian,142740,-4483.486328125,289.24249267578125,586290429952.0,765696.0625,17.685684204101562
t_soil,idw,142740,286.9112854003906,287.2354736328125,107.8486099243164,10.385018348693848,17.45953369140625
t_soil,spherical,142740,287.6670837402344,289.06756591796875,126.34468078613281,11.240315437316895,17.06433868408203
t_soil,exponential,142740,287.51373291015625,288.78662109375,125.3744125366211,11.19707202911377,16.98772430419922
t_soil,gaussian,142740,288.89886474609375,289.6776123046875,61481724.0,7841.0283203125,17.463912963867188
sm,idw,142740,0.20548443496227264,0.20371219515800476,0.005105568096041679,0.07145325839519501,0.10855628922581673
sm,spherical,142740,0.19689522683620453,0.19337353110313416,0.005832454189658165,0.07637050747871399,0.11027615144848824
sm,exponential,142740,0.19884827733039856,0.19487681984901428,0.0061840335838496685,0.07863862812519073,0.11237479373812675
sm,gaussian,142740,0.1953183263540268,0.19151197373867035,0.0057534994557499886,0.07585182785987854,0.10808437317609787
