variable,model,n,rmse,pearson_r
precip,exponential,9470.0,7.382952837043013,0.5427546087737479
precip,gaussian,9470.0,165.87883227407403,0.021523492937902785
precip,idw,9470.0,6.747540370513213,0.6411041108827031
precip,spherical,9470.0,7.401279950590573,0.5395640443564622
rh,exponential,8388.0,11.224584079860593,0.8533252234792067
rh,gaussian,8388.0,13.053806791601763,0.7960349248737324
rh,idw,8388.0,12.883286312139532,0.8103579868401655
rh,spherical,8388.0,11.257959622725217,0.8521928968007072
sm,exponential,7114.0,0.0899808478642365,0.6464357183974102
sm,gaussian,7114.0,0.0885281052829568,0.6564599804958554
sm,idw,7114.0,0.08900636800200663,0.6509605968801317
sm,spherical,7114.0,0.08845697391357442,0.6576945193017755
t_air,exponential,9515.0,2.962922914941854,0.9593458249357922
t_air,gaussian,9515.0,10216.297673211839,-0.012073900165897572
t_air,idw,9515.0,3.8968322283301653,0.9316864903659914
t_air,spherical,9515.0,2.9437037102828856,0.959879818142507
t_soil,exponential,8414.0,3.9939466478130474,0.9429278371033701
t_soil,gaussian,8414.0,92.57820400880391,0.05859768764604023
t_soil,idw,8414.0,4.747729081674912,0.919364232833817
t_soil,spherical,8414.0,3.98284743721609,0.943256467588485
