variable,model_a,model_b,ks_D,p_value
precip,idw,spherical,0.13702,0.0
precip,idw,exponential,0.10294,4.2175147874472214e-231
precip,idw,gaussian,0.19286,0.0
precip,spherical,exponential,0.050140000000000004,4.626001489892086e-55
precip,spherical,gaussian,0.11354,3.398790701448841e-281
precip,exponential,gaussian,0.14736000000000002,0.0
rh,idw,spherical,0.13160000000000005,0.0
rh,idw,exponential,0.132,0.0
rh,idw,gaussian,0.10972000000000004,1.430148431352729e-262
rh,spherical,exponential,0.010820000000000052,0.005697164686765742
rh,spherical,gaussian,0.023779999999999968,1.0310620636953277e-12
rh,exponential,gaussian,0.028980000000000006,1.1284743810202378e-18
t_air,idw,spherical,0.049980000000000024,1.0315489047883128e-54
t_air,idw,exponential,0.04149999999999998,7.530621299336439e-38
t_air,idw,gaussian,0.11692000000000002,3.2717659280476655e-298
t_air,spherical,exponential,0.014539999999999997,5.080430511583484e-05
t_air,spherical,gaussian,0.07108000000000003,2.799896813073421e-110
t_air,exponential,gaussian,0.07875999999999994,2.475510762244207e-135
t_soil,idw,spherical,0.05922000000000005,1.1785899822329322e-76
t_soil,idw,exponential,0.04949999999999999,1.1262870210182798e-53
t_soil,idw,gaussian,0.06482000000000004,9.128149824194042e-92
t_soil,spherical,exponential,0.014019999999999977,0.00010679899973936873
t_soil,spherical,gaussian,0.018500000000000072,7.29977619530894e-08
t_soil,exponential,gaussian,0.027859999999999996,2.726951362569553e-17
sm,idw,spherical,0.06284000000000001,2.881671549613367e-86
sm,idw,exponential,0.05765999999999999,1.0892167588052611e-72
sm,idw,gaussian,0.07556000000000002,1.4004749132463703e-124
sm,spherical,exponential,0.010419999999999985,0.008715062486699607
sm,spherical,gaussian,0.015180000000000027,1.961764468484e-05
sm,exponential,gaussian,0.021119999999999972,4.0559429585306573e-10
